#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
2MASS J21402931+1625183 A b,,,7336.5,10.09516,4.27947,3.184152,0.796038,3.6e-05,3.5e-05,0.08,0.06,0.12,0.05,2300.0,80.0
TRAPPIST-1 b,,,1.510871,1.064381,0.032919,0.01111,0.00034,4.507235,0.447432,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 c,,,2.421823,1.031462,0.032919,0.01521,0.00047,2.404805,0.23961,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 d,,,4.04961,0.757137,0.032919,0.02144,0.00066,1.210288,0.120415,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 e,,,6.099615,0.899786,0.032919,0.02817,0.00087,0.701075,0.068622,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 f,,,9.20669,1.020489,0.032919,0.0371,0.0011,0.404195,0.039654,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 g,,,12.35294,1.108273,0.043892,0.0451,0.0014,0.273518,0.027301,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 h,,,18.767,0.735191,0.032919,0.059557,0.002482,0.156847,0.01792,0.08,0.01,0.12,0.0,2559.0,50.0
Kepler-42 b,,,1.213767,0.76811,0.21946,0.011282,0.001446,18.124341,10.547432,0.13,0.05,0.17,0.04,3068.0,174.0
Kepler-42 c,,,0.453285,0.713245,0.197514,0.005851,0.00075,67.392905,39.219197,0.13,0.05,0.17,0.04,3068.0,174.0
Kepler-42 d,,,1.865169,0.559623,0.175568,0.015023,0.001926,10.220807,5.947983,0.13,0.05,0.17,0.04,3068.0,174.0
LP 791-18 b,,,0.948005,1.0973,0.131676,0.00969,0.00035,21.286872,5.437523,0.14,0.01,0.17,0.02,2960.0,55.0
LP 791-18 c,,,4.989963,2.260438,0.241406,0.029392,0.00105,2.313668,0.591387,0.14,0.01,0.17,0.02,2960.0,55.0
GJ 1214 b,,,1.580405,2.787142,0.197514,0.01411,0.00032,18.363766,4.091346,0.15,0.01,0.22,0.01,3026.0,150.0
LHS 3844 b,,,0.462929,1.272868,0.021946,0.00622,0.00017,71.421376,11.147288,0.15,0.01,0.19,0.01,3036.0,77.0
Kepler-445 b,,,2.984151,1.53622,0.21946,0.022906,0.001697,7.52223,2.487571,0.18,0.04,0.21,0.03,3157.0,60.0
Kepler-445 c,,,4.871229,2.41406,0.32919,0.031756,0.002352,3.913718,1.294251,0.18,0.04,0.21,0.03,3157.0,60.0
Kepler-445 d,,,8.15275,1.20703,0.21946,0.044764,0.003316,1.969558,0.651325,0.18,0.04,0.21,0.03,3157.0,60.0
LHS 1140 b,,,24.736959,1.689842,0.032919,0.0936,0.0024,0.485116,0.034244,0.18,0.01,0.21,0.0,3216.0,39.0
LHS 1140 c,,,3.777931,1.250922,0.021946,0.02675,0.0007,5.9395,0.423836,0.18,0.01,0.21,0.0,3216.0,39.0
Kepler-1649 b,,,8.68909,1.053408,0.142649,0.0514,0.0028,2.348705,0.813417,0.22,0.02,0.25,0.04,3240.0,61.0
